Minutes,Games,iteration,Average_Score,High_Score,Epsilon,,,,,,,Seconds (plus the mintues)
56,413,50124,70,380,0.049926124,,,,,,,17.41
56,414,50346,132,380,0.049704346,,,,,,,32.37
56,415,50445,61,380,0.049605445,,,,,,,39.32
56,416,50620,73,380,0.04943062,,,,,,,51.02
57,417,50767,89,380,0.049283767,,,,,,,1.05
57,418,51076,183,380,0.048975076,,,,,,,21.94
57,419,51208,78,380,0.048843208,,,,,,,30.82
57,420,51422,129,380,0.048629422,,,,,,,45.33
57,421,51496,43,380,0.048555496,,,,,,,50.3
57,422,51584,52,380,0.048467584,,,,,,,56.25
58,423,51839,154,380,0.048212839,,,,,,,13.55
58,424,51976,85,380,0.048075976,,,,,,,23.18
58,425,52262,175,380,0.047790262,,,,,,,42.8
58,426,52384,73,380,0.047668384,,,,,,,51.14
58,427,52481,58,380,0.047571481,,,,,,,57.76
59,428,52712,138,380,0.047340712,,,,,,,13.32
59,429,52807,55,380,0.047245807,,,,,,,19.67
59,430,53029,133,380,0.047024029,,,,,,,34.59
59,431,53173,85,380,0.046880173,,,,,,,44.26
59,432,53360,111,380,0.04669336,,,,,,,56.79
60,433,53490,78,380,0.04656349,,,,,,,5.68
60,434,53652,97,380,0.046401652,,,,,,,16.7
60,435,53788,81,380,0.046265788,,,,,,,25.91
60,436,53878,55,380,0.046175878,,,,,,,32.16
60,437,53975,58,380,0.046078975,,,,,,,38.78
60,438,54047,42,380,0.046007047,,,,,,,43.73
60,439,54173,75,380,0.045881173,,,,,,,52.22
60,440,54246,42,380,0.045808246,,,,,,,57.15
61,441,54344,58,380,0.045710344,,,,,,,3.8
61,442,54544,121,380,0.045510544,,,,,,,17.47
61,443,54738,120,380,0.045316738,,,,,,,31.02
61,444,54887,91,380,0.045167887,,,,,,,41.28
61,445,55031,85,380,0.045024031,,,,,,,50.92
62,446,55178,86,380,0.044877178,,,,,,,0.66
62,447,55252,43,380,0.044803252,,,,,,,5.67
62,448,55441,113,380,0.044614441,,,,,,,18.37
62,449,55687,149,380,0.044368687,,,,,,,35.1
63,450,56111,256,380,0.043945111,,,,,,,3.74
63,451,56240,76,380,0.04381624,,,,,,,12.4
63,452,56497,154,380,0.043559497,,,,,,,29.73
63,453,56598,59,380,0.043458598,,,,,,,36.5
63,454,56727,76,380,0.043329727,,,,,,,45.12
63,455,56849,72,380,0.043207849,,,,,,,53.31
63,456,56943,55,380,0.043113943,,,,,,,59.56
64,457,57160,129,380,0.04289716,,,,,,,14.1
64,458,57235,44,380,0.042822235,,,,,,,19.17
64,459,57333,58,380,0.042724333,,,,,,,25.79
64,460,57439,62,380,0.042618439,,,,,,,32.87
64,461,57573,80,380,0.042484573,,,,,,,41.92
64,462,57647,43,380,0.042410647,,,,,,,46.86
65,463,57928,167,380,0.042129928,,,,,,,5.58
65,464,58017,52,380,0.042041017,,,,,,,11.57
65,465,58149,79,380,0.041909149,,,,,,,20.54
65,466,58251,59,380,0.041807251,,,,,,,27.37
65,467,58358,62,380,0.041700358,,,,,,,34.51
65,468,58432,42,380,0.041626432,,,,,,,39.43
65,469,58624,116,380,0.041434624,,,,,,,52.51
66,470,58889,157,380,0.041169889,,,,,,,10.21
66,471,58990,59,380,0.04106899,,,,,,,16.97
66,472,59086,56,380,0.040973086,,,,,,,23.42
66,473,59160,42,380,0.04089916,,,,,,,28.36
66,474,59231,42,380,0.040828231,,,,,,,33.25
66,475,59305,43,380,0.040754305,,,,,,,38.23
66,476,59461,92,380,0.040598461,,,,,,,48.7
67,477,59749,173,380,0.040310749,,,,,,,8.18
67,478,59823,42,380,0.040236823,,,,,,,13.1
67,479,59947,73,380,0.040112947,,,,,,,21.46
67,480,60114,99,380,0.039946114,,,,,,,32.67
67,481,60226,67,380,0.039834226,,,,,,,40.33
67,482,60352,74,380,0.039708352,,,,,,,48.76
68,483,60611,154,380,0.039449611,,,,,,,6.1
68,484,60787,104,380,0.039273787,,,,,,,17.87
68,485,60962,102,380,0.039098962,,,,,,,29.41
68,486,61047,49,380,0.039014047,,,,,,,35.07
68,487,61205,93,380,0.038856205,,,,,,,45.63
68,488,61321,71,380,0.038740321,,,,,,,53.71
69,489,61467,86,380,0.038594467,,,,,,,3.44
69,490,61665,116,380,0.038396665,,,,,,,16.54
69,491,61738,42,380,0.038323738,,,,,,,21.4
69,492,61831,54,380,0.038230831,,,,,,,27.6
69,493,61918,50,380,0.038143918,,,,,,,33.41
69,494,62010,53,380,0.03805201,,,,,,,39.5
69,495,62242,138,380,0.037820242,,,,,,,55.04
70,496,62327,50,380,0.037735327,,,,,,,0.76
70,497,62402,43,380,0.037660402,,,,,,,5.81
70,498,62496,55,380,0.037566496,,,,,,,12.11
70,499,62570,42,380,0.03749257,,,,,,,17.02
70,500,62644,43,380,0.037418644,,,,,,,22
70,501,62790,86,380,0.03727279,,,,,,,31.78
70,502,63033,145,380,0.037030033,,,,,,,48.09
70,503,63125,53,380,0.036938125,,,,,,,54.21
71,504,63272,86,380,0.036791272,,,,,,,3.98
71,505,63346,42,380,0.036717346,,,,,,,8.91
71,506,63419,42,380,0.036644419,,,,,,,13.81
71,507,63704,170,380,0.036359704,,,,,,,32.94
71,508,63843,82,380,0.036220843,,,,,,,42.26
71,509,63945,60,380,0.036118945,,,,,,,49.13
71,510,64044,58,380,0.036020044,,,,,,,55.8
